<<<<<<< HEAD
Student,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8
S499,4,4,4,1,2,2,2,2
S500,1,1,1,1,1,2,1,1
S501,3,3,2,1,2,2,3,2
S502,1,1,2,1,1,1,2,2
S503,4,5,4,2,3,4,5,3
S504,1,2,1,1,3,3,2,1
S505,1,2,1,1,3,3,1,2
S506,2,1,1,1,1,1,2,1
S507,3,1,4,1,3,3,3,1
S508,1,2,1,1,1,1,2,1
S509,2,1,1,2,2,1,1,2
S510,3,2,2,2,2,3,3,2
S511,3,2,3,1,2,2,2,2
S512,1,1,1,1,1,1,1,1
S513,1,1,1,1,2,1,1,1
S514,1,1,1,2,2,2,2,2
S515,1,2,2,1,1,1,1,1
S516,1,1,1,2,2,1,1,3
S517,2,1,2,3,2,1,2,1
S518,4,2,3,1,2,2,2,3
S519,1,1,2,1,1,1,1,1
S520,1,1,2,2,2,1,1,1
S521,2,2,3,1,3,1,1,1
S522,3,1,3,2,1,2,3,2
S523,1,1,1,2,1,1,1,1
S524,1,1,1,3,1,2,2,2
S525,2,1,1,1,1,2,2,1
S526,2,3,1,3,3,3,1,2
S527,1,1,1,1,1,1,1,2
S528,3,2,4,1,3,2,2,4
S529,3,2,1,3,3,1,2,4
S530,2,2,1,1,2,1,1,1
S531,3,1,2,5,2,1,2,1
S532,1,2,2,5,1,1,2,1
S533,2,3,2,1,3,2,3,1
S534,1,1,2,1,2,1,1,2
S535,1,1,3,3,1,1,1,1
S536,1,1,2,3,2,1,2,3
S537,1,2,2,1,1,2,1,1
S538,3,2,1,4,3,2,3,3
S539,1,1,2,1,1,1,1,1
S540,3,3,4,1,4,3,5,3
S541,3,1,3,2,1,3,2,3
S542,1,2,2,1,1,1,3,1
S543,3,4,1,1,2,2,2,1
S544,1,2,1,2,1,2,2,2
S545,2,3,1,1,2,1,1,2
S546,4,2,1,2,1,2,1,1
S547,1,3,2,1,1,2,2,4
S548,1,1,1,1,1,1,2,1
S549,1,1,2,1,1,1,3,1
S550,3,1,2,1,1,1,1,1
S551,1,3,2,1,3,2,1,2
S552,1,1,2,3,1,2,1,1
S553,1,2,1,1,1,1,1,2
S554,1,1,1,5,2,2,2,4
S555,1,2,1,2,1,1,1,1
S556,1,2,2,1,5,3,1,2
S557,2,1,1,1,2,1,1,1
S558,1,2,1,2,2,1,1,2
S559,1,3,2,1,4,3,3,2
S560,2,2,1,1,1,1,2,2
S561,1,1,1,2,2,1,1,2
S562,2,1,2,3,3,2,2,3
S563,1,2,1,1,1,1,1,1
S564,3,3,2,2,2,4,2,1
S565,4,3,1,2,2,1,2,1
S566,3,3,3,1,2,4,2,3
S567,1,1,2,1,1,2,1,1
S568,1,3,3,1,1,1,1,1
S569,1,3,3,3,2,1,3,2
S570,2,3,3,5,1,4,3,3
S571,1,3,1,2,1,2,1,1
S572,3,1,3,3,1,1,4,3
S573,1,1,2,1,1,2,2,1
S574,2,2,3,1,5,2,2,2
S575,3,3,3,1,2,3,1,2
S576,3,1,3,3,2,1,1,1
S577,1,1,1,1,1,2,1,1
S578,2,3,4,3,3,4,3,5
S579,1,1,1,1,1,1,1,1
S580,1,2,2,1,2,2,2,3
S581,3,3,1,2,2,1,2,1
S582,1,1,1,1,1,3,1,1
S583,2,2,2,1,1,1,2,3
S584,2,3,3,2,1,3,1,2
S585,3,1,1,2,1,1,2,3
S586,1,1,2,1,2,1,1,1
S587,2,2,1,2,2,2,1,3
S588,2,3,1,1,1,2,3,1
S589,3,1,2,3,1,2,1,1
S590,1,4,1,1,1,1,1,1
S591,1,2,1,1,1,1,3,1
S592,1,1,2,2,2,1,1,1
S593,3,2,2,1,1,1,1,3
S594,1,1,1,2,1,1,1,1
S595,1,2,1,3,2,2,3,2
S596,3,3,3,2,5,4,3,2
S597,2,1,1,1,2,3,1,3
S598,2,3,1,2,1,2,1,1
S599,3,5,2,2,3,3,3,4
S600,2,2,2,1,1,1,1,1
S601,1,1,2,2,1,3,1,1
S602,3,1,1,3,3,4,1,3
S603,2,1,2,1,1,1,1,2
S604,1,3,1,4,4,3,1,1
S605,3,1,2,1,1,1,1,1
S606,1,1,1,3,1,1,1,1
S607,2,3,1,1,3,1,1,1
S608,4,4,3,4,4,2,3,3
S609,2,1,1,1,1,1,2,1
S610,2,4,1,4,1,2,3,5
S611,2,1,3,1,4,2,3,3
S612,1,3,1,1,1,1,1,1
S613,1,1,1,1,1,1,2,2
S614,1,1,1,1,2,2,4,1
S615,3,4,3,1,3,3,3,2
S616,3,1,1,1,1,1,1,1
S617,2,1,2,1,1,1,1,1
S618,1,1,1,1,1,1,1,2
S619,3,4,4,3,4,2,3,2
S620,1,1,1,1,2,1,1,2
S621,1,2,1,3,3,2,1,2
S622,1,1,1,1,2,1,1,3
S623,3,4,2,2,5,5,1,4
S624,1,1,1,2,3,1,1,1
S625,2,3,1,1,2,3,3,2
S626,1,2,1,1,1,2,3,1
S627,2,3,2,2,1,3,4,1
S628,3,1,2,1,1,4,3,3
S629,1,1,1,1,1,1,1,1
S630,1,1,1,2,2,2,2,1
S631,1,1,1,2,1,1,1,1
S632,1,2,3,1,1,2,4,2
S633,3,4,2,2,2,3,2,1
S634,2,3,2,1,1,1,3,1
S635,4,1,4,1,3,2,2,1
S636,1,1,1,1,1,1,2,1
S637,1,1,1,1,1,1,2,1
S638,1,1,3,2,3,1,2,1
S639,2,1,1,3,2,2,1,1
S640,2,2,2,2,2,2,2,3
S641,2,4,3,2,4,3,4,3
S642,3,1,1,1,1,1,2,1
S643,3,1,1,1,2,1,3,2
S644,1,3,2,2,1,2,4,1
S645,1,1,1,3,1,1,2,1
S646,2,1,1,1,1,1,1,1
S647,1,2,1,2,2,2,1,2
S648,1,1,1,2,1,3,4,2
S649,4,1,4,2,2,3,2,3
S650,1,2,1,1,3,1,1,1
S651,1,2,3,4,3,2,2,2
S652,2,2,2,1,1,1,1,1
S653,2,3,3,1,1,3,1,1
S654,2,1,2,1,2,1,1,3
S655,1,1,1,1,1,1,1,1
S656,3,1,1,1,2,3,1,2
S657,1,2,5,1,2,2,2,2
S658,1,1,1,1,2,1,1,1
S659,3,2,1,2,1,2,1,4
S660,2,1,4,3,4,1,3,1
S661,1,2,3,1,3,2,4,1
S662,1,2,1,1,1,1,1,1
S663,1,2,3,2,4,1,1,3
S664,4,2,3,3,2,2,1,2
S665,1,1,3,2,1,2,4,1
S666,1,2,1,1,1,1,1,1
S667,1,1,2,1,1,5,1,2
S668,5,1,2,2,2,2,1,1
S669,1,1,1,2,4,1,1,3
S670,1,1,1,2,1,1,1,2
S671,1,3,2,4,2,1,1,1
S672,2,1,1,4,1,1,1,1
S673,1,1,3,2,3,3,3,1
S674,1,2,1,1,1,2,1,1
S675,1,1,1,3,1,2,1,1
S676,3,1,3,1,3,2,3,2
S677,2,1,2,1,1,2,2,1
S678,1,1,2,2,2,1,3,3
S679,2,2,3,1,4,3,3,2
S680,1,1,1,1,1,1,1,2
S681,5,3,5,1,1,3,5,4
S682,1,2,1,1,2,1,2,1
S683,2,1,2,1,2,2,1,1
S684,4,2,2,2,3,2,3,2
S685,2,1,1,1,1,2,1,1
S686,1,2,1,2,2,3,1,1
S687,3,2,1,2,2,4,3,2
S688,3,3,5,1,2,2,4,1
S689,1,1,1,1,1,1,1,3
S690,2,1,2,2,2,3,4,1
S691,2,1,1,1,2,1,2,1
S692,2,3,2,2,4,3,1,2
S693,1,2,3,4,2,2,2,3
S694,1,1,2,1,1,1,1,2
S695,1,1,1,2,1,1,1,1
S696,3,4,4,3,4,3,4,5
S697,3,2,4,2,3,2,3,1
S698,4,1,2,1,3,1,3,1
S699,1,1,1,1,1,1,1,1
S700,5,5,3,1,3,3,5,3
S701,1,1,1,2,1,2,1,1
S702,2,3,1,2,5,3,1,2
S703,1,1,1,1,1,1,1,1
S704,2,3,1,1,3,1,3,1
S705,2,1,1,3,5,1,1,3
S706,1,4,2,1,2,4,1,3
S707,2,2,1,1,1,1,1,1
S708,1,1,4,4,1,3,2,2
S709,3,1,1,2,1,1,1,1
S710,1,3,4,2,2,4,2,1
S711,1,1,2,4,3,2,3,1
S712,1,1,1,1,3,2,1,1
S713,3,4,2,1,2,2,1,3
S714,2,1,1,1,2,2,1,1
S715,4,4,5,3,3,4,2,3
S716,2,2,3,1,1,1,1,1
S717,2,4,4,2,3,2,4,4
S718,1,2,1,3,1,1,1,1
S719,2,2,2,1,1,2,2,2
S720,1,3,2,1,1,3,1,2
S721,3,4,3,5,3,3,3,3
S722,2,1,2,3,3,2,3,1
S723,1,1,1,1,1,1,1,2
S724,2,2,2,1,1,3,1,1
S725,5,4,3,2,2,1,1,5
S726,2,2,1,1,2,3,1,1
S727,1,2,2,1,1,1,4,1
S728,3,3,5,3,4,4,4,4
S729,2,1,1,4,1,3,3,1
S730,2,1,2,1,2,1,1,2
S731,1,1,3,1,1,1,1,1
